LETRA;PISO;Mes ;Monto;Pagado;Saldo
E;3;jun-25; 209,00 ;; 209,00 
E;3;jul-25; 217,00 ;; 217,00 
E;3;ago-25; 220,05 ;; 220,05 
E;3;sep-25; 201,11 ;; 201,11 
E;3;oct-25; 220,27 ;; 220,27 
E;3;nov-25; 219,73 ;; 219,73 
E;3;dic-25; 212,42 ;; 212,42 
E;3;ene-26; 217,00 ;; 217,00 
E;3;feb-26; 258,40 ;; 258,40 
E;3;mar-26; 258,02 ;; 258,02 
E;3;abr-26; 271,94 ;; 271,94 
E;3;may-26; 255,30 ;; 255,30 
E;3;jun-26; 280,97 ;; 280,97 
B;4;feb-26; 194,31 ;; 194,31 
B;4;mar-26; 162,49 ;; 162,49 
B;4;abr-26; 167,19 ;; 167,19 
B;4;may-26; 167,19 ;; 167,19 
B;4;jun-26; 191,31 ;; 191,31 
C;4;mar-26; 170,94 ;; 170,94 
C;4;abr-26; 178,36 ;; 178,36 
C;4;may-26; 174,05 ;; 174,05 
C;4;jun-26; 175,36 ;; 175,36 
E;4;jun-26; 344,07 ;; 344,07 
B;5;jun-26; 261,71 ;; 261,71 
E;5;feb-26; 50,00 ;; 50,00 
E;5;mar-26; 40,00 ;; 40,00 
E;5;abr-26; 40,00 ;; 40,00 
E;5;may-26; 40,00 ;; 40,00 
E;5;jun-26; 246,60 ;; 246,60 
B;6;may-26; 238,44 ;; 238,44 
B;6;jun-26; 248,59 ;; 248,59 
C;6;nov-25; 137,06 ;; 137,06 
;;;;;
