LETRA;PISO;Mes;Monto;Pagado;Saldo
E;3;jun-25;209,00;;209,00
E;3;jul-25;217,00;;217,00
E;3;ago-25;220,05;;220,05
E;3;sep-25;201,11;;201,11
E;3;oct-25;220,27;;220,27
E;3;nov-25;219,73;;219,73
E;3;dic-25;212,42;;212,42
E;3;ene-26;217,00;;217,00
E;3;feb-26;258,40;;258,40
E;3;mar-26;258,02;;258,02
E;3;abr-26;271,94;;271,94
E;3;may-26;255,30;;255,30
E;3;jun-26;280,97;;280,97
B;4;feb-26;194,31;;194,31
B;4;mar-26;162,49;;162,49
B;4;abr-26;167,19;;167,19
B;4;may-26;167,19;;167,19
B;4;jun-26;191,31;;191,31
C;4;mar-26;170,94;;170,94
C;4;abr-26;178,36;;178,36
C;4;may-26;174,05;;174,05
C;4;jun-26;175,36;;175,36
E;4;jun-26;344,07;;344,07
B;5;jun-26;261,71;;261,71
E;5;feb-26;50,00;;50,00
E;5;mar-26;40,00;;40,00
E;5;abr-26;40,00;;40,00
E;5;may-26;40,00;;40,00
E;5;jun-26;246,60;;246,60
B;6;may-26;238,44;;238,44
B;6;jun-26;248,59;;248,59
C;6;nov-25;137,06;;137,06
E;6;may-26;50,00;;50,00
E;6;jun-26;50,00;;50,00
A;7;feb-26;184,00;;184,00
A;7;mar-26;199,52;;199,52
A;7;abr-26;210,94;;210,94
A;7;may-26;213,87;;213,87
A;7;jun-26;212,90;;212,90
E;8;feb-26;38,38;;38,38
E;8;jun-26;247,25;;247,25
B;9;ges_ant;2175,00;;2175,00
B;9;mar-25;165,00;;165,00
B;9;oct-25;168,07;;168,07
B;9;nov-25;170,59;;170,59
B;9;dic-25;165,00;;165,00
E;9;jun-26;266,00;;266,00
B;10;mar-26;165,80;;165,80
B;10;abr-26;199,41;;199,41
B;10;may-26;168,87;;168,87
B;10;jun-26;162,00;;162,00
D;10;ges_ant;384,00;;384,00
D;10;ene-25;97,00;;97,00
D;10;feb-25;125,00;;125,00
D;10;mar-25;126,00;;126,00
D;10;abr-25;121,00;;121,00
D;10;may-25;125,00;;125,00
D;10;jun-25;127,00;;127,00
D;10;jul-25;127,00;;127,00
D;10;sep-25;124,85;;124,85
D;10;oct-25;128,90;;128,90
D;10;nov-25;133,39;;133,39
D;10;dic-25;128,56;;128,56
D;10;ene-26;126,51;;126,51
D;10;feb-26;155,95;;155,95
D;10;mar-26;153,28;;153,28
D;10;abr-26;151,58;;151,58
D;10;may-26;155,03;;155,03
D;10;jun-26;153,52;;153,52
B;12;ene-26;203,60;;203,60
B;12;feb-26;275,35;;275,35
B;12;mar-26;251,59;;251,59
B;12;abr-26;237,20;;237,20
B;12;may-26;261,75;;261,75
B;12;jun-26;250,74;;250,74
E;12;feb-26;54,00;;54,00
E;12;mar-26;54,00;;54,00
E;12;abr-26;54,00;;54,00
E;12;may-26;54,00;;54,00
E;12;jun-26;330,53;;330,53
A;13;mar-26;195,50;;195,50
A;13;abr-26;198,78;;198,78
A;13;may-26;190,47;;190,47
A;13;jun-26;194,90;;194,90
C;13;sep-25;152,71;;152,71
C;13;oct-25;152,29;;152,29
C;13;nov-25;152,38;;152,38
C;13;dic-25;152,84;;152,84
C;13;ene-26;152,50;;152,50
C;13;feb-26;190,49;;190,49
C;13;mar-26;188,45;;188,45
C;13;abr-26;188,42;;188,42
C;13;may-26;203,07;;203,07
C;13;jun-26;213,82;;213,82
E;13;jun-26;308,06;;308,06
F;13;abr-26;171,68;;171,68
F;13;may-26;177,96;;177,96
F;13;jun-26;173,05;;173,05
E;15;abr-25;37,00;;37,00
E;15;may-25;37,00;;37,00
E;15;jun-25;38,00;;38,00
E;15;jul-25;36,00;;36,00
E;15;ago-25;36,71;;36,71
E;15;sep-25;36,98;;36,98
E;15;oct-25;0,42;;0,42
E;15;nov-25;0,29;;0,29
E;15;dic-25;186,21;;186,21
E;15;ene-26;36,38;;36,38
E;15;feb-26;86,25;;86,25
E;15;mar-26;94,01;;94,01
E;15;abr-26;91,00;;91,00
E;15;may-26;90,37;;90,37
E;15;jun-26;89,88;;89,88
C;18;may-25;116,00;;116,00
C;18;jun-25;117,00;;117,00
C;18;jul-25;115,00;;115,00
C;18;ago-25;114,11;;114,11
C;18;sep-25;114,08;;114,08
C;18;oct-25;114,17;;114,17
C;18;nov-25;114,21;;114,21
C;18;dic-25;114,00;;114,00
C;18;ene-26;114,00;;114,00
C;18;feb-26;145,30;;145,30
C;18;mar-26;145,04;;145,04
C;18;abr-26;145,37;;145,37
C;18;may-26;145,46;;145,46
C;18;jun-26;145,23;;145,23
DE;18;may-26;507,92;;507,92
DE;18;jun-26;518,66;;518,66
DE;20;feb-26;70,00;;70,00
DE;20;mar-26;70,00;;70,00
DE;20;abr-26;70,00;;70,00
DE;20;may-26;70,00;;70,00
DE;20;jun-26;396,73;;396,73
B;22;nov-25;292,30;;292,30
B;22;dic-25;263,15;;263,15
B;22;ene-26;282,93;;282,93
B;22;feb-26;317,65;;317,65
B;22;mar-26;317,78;;317,78
B;22;abr-26;336,63;;336,63
B;22;may-26;317,00;;317,00
B;22;jun-26;317,00;;317,00
